chapter;show keyword;characters;environment;artstyle;ai prompt;prompt format template
2_call_to_adventure.rpy;show amelia_lead_discussion_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Students (diverse, casual clothes);Study group room (desks, whiteboard, books, collaborative atmosphere);Semi-realistic;An 18-year-old girl named Amelia is leading a discussion in a study group. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The study group consists of diverse students wearing casual clothes. The room has desks, a whiteboard, books, and a collaborative atmosphere. Watercolor art style.;A [character age]-year-old [character description] leading a discussion in a study group. The students are [students description]. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_share_study_tips_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Students (diverse, casual clothes);Study group room (desks, whiteboard, books, collaborative atmosphere);Semi-realistic;An 18-year-old girl named Amelia is sharing study tips with her study group. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The study group consists of diverse students wearing casual clothes. The room has desks, a whiteboard, books, and a collaborative atmosphere. Watercolor art style.;A [character age]-year-old [character description] sharing study tips with her study group. The students are [students description]. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_social_event_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Plymouth campus (social event setup, students mingling, evening lighting);Semi-realistic;An 18-year-old girl named Amelia is attending a social event at Plymouth campus. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The campus has a social event setup with students mingling and evening lighting. Watercolor art style.;A [character age]-year-old [character description] attending a social event at Plymouth campus. They are wearing [clothes]. The campus has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_meaningful_conversations_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Students (diverse, casual clothes);Plymouth campus (social event setup, students mingling, evening lighting);Semi-realistic;An 18-year-old girl named Amelia is engaging in meaningful conversations at a social event. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The students are diverse and wearing casual clothes. The campus has a social event setup with evening lighting. Watercolor art style.;A [character age]-year-old [character description] engaging in meaningful conversations at a social event. The students are [students description]. They are wearing [clothes]. The campus has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_try_new_activity_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Students (diverse, casual clothes);Plymouth campus (social event setup, students mingling, evening lighting);Semi-realistic;An 18-year-old girl named Amelia is trying a new activity at a social event. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The students are diverse and wearing casual clothes. The campus has a social event setup with evening lighting. Watercolor art style.;A [character age]-year-old [character description] trying a new activity at a social event. The students are [students description]. They are wearing [clothes]. The campus has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_meet_lucas_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Lucas (19, olive skin, short black hair, brown eyes, wearing casual clothes);Plymouth campus (social event setup, students mingling, evening lighting);Semi-realistic;An 18-year-old girl named Amelia is meeting Lucas at a social event. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. Lucas has olive skin, short black hair, and brown eyes. He is wearing casual clothes. The campus has a social event setup with evening lighting. Watercolor art style.;A [character age]-year-old [character description] meeting Lucas at a social event. Lucas is [Lucas description]. They are wearing [clothes]. The campus has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_dorm_room_night_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters on walls, books on a desk, suitcase on floor, night time);Semi-realistic;An 18-year-old girl named Amelia is in her dorm room at night. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room has posters on the walls, a desk with books, and a suitcase on the floor. It is night time. Watercolor art style.;A [character age]-year-old [character description] in her dorm room at night. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_seek_support_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters on walls, books on a desk, suitcase on floor, night time);Semi-realistic;An 18-year-old girl named Amelia is seeking support in her dorm room at night. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room has posters on the walls, a desk with books, and a suitcase on the floor. It is night time. Watercolor art style.;A [character age]-year-old [character description] seeking support in her dorm room at night. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_open_up_struggles_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Ella (friend, 18, fair skin, long blonde hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters on walls, books on a desk, suitcase on floor, night time);Semi-realistic;An 18-year-old girl named Amelia is opening up about her struggles to her friend Ella in her dorm room at night. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. Ella has fair skin, long blonde hair, and blue eyes. She is wearing casual clothes. The room has posters on the walls, a desk with books, and a suitcase on the floor. It is night time. Watercolor art style.;A [character age]-year-old [character description] opening up about her struggles to her friend Ella in her dorm room at night. Ella is [Ella description]. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_practical_advice_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Liz (18, olive skin, short curly hair, green eyes, wearing casual clothes);Dorm room (cozy, posters on walls, books on a desk, suitcase on floor, night time);Semi-realistic;An 18-year-old girl named Amelia is asking for practical advice from her roommate Liz in their dorm room at night. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. Liz has olive skin, short curly hair, and green eyes. She is wearing casual clothes. The room has posters on the walls, a desk with books, and a suitcase on the floor. It is night time. Watercolor art style.;A [character age]-year-old [character description] asking for practical advice from her roommate Liz in their dorm room at night. Liz is [Liz description]. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_tackle_challenge_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters on walls, books on a desk, suitcase on floor, night time);Semi-realistic;An 18-year-old girl named Amelia is tackling the challenge independently in her dorm room at night. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room has posters on the walls, a desk with books, and a suitcase on the floor. It is night time. Watercolor art style.;A [character age]-year-old [character description] tackling the challenge independently in her dorm room at night. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_detailed_plan_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters on walls, books on a desk, suitcase on floor, night time);Semi-realistic;An 18-year-old girl named Amelia is creating a detailed plan in her dorm room at night. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room has posters on the walls, a desk with books, and a suitcase on the floor. It is night time. Watercolor art style.;A [character age]-year-old [character description] creating a detailed plan in her dorm room at night. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_self_care_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters on walls, books on a desk, suitcase on floor, night time);Semi-realistic;An 18-year-old girl named Amelia is practicing self-care in her dorm room at night. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room has posters on the walls, a desk with books, and a suitcase on the floor. It is night time. Watercolor art style.;A [character age]-year-old [character description] practicing self-care in her dorm room at night. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_peace_garden_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Campus garden (beautiful, serene, lush greenery, flowers, fountain);Semi-realistic;An 18-year-old girl named Amelia is finding peace in a beautiful campus garden. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The garden is serene with lush greenery, flowers, and a fountain. Watercolor art style.;A [character age]-year-old [character description] finding peace in a beautiful campus garden. They are wearing [clothes]. The garden has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_lecture_hall_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Lecture hall (seats filled with students, professor at front, projector screen);Semi-realistic;An 18-year-old girl named Amelia is attending a lecture in a lecture hall. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The lecture hall has seats filled with students, a professor at the front, and a projector screen. Watercolor art style.;A [character age]-year-old [character description] attending a lecture in a lecture hall. They are wearing [clothes]. The hall has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_niche_topic_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Lecture hall (seats filled with students, professor at front, projector screen);Semi-realistic;An 18-year-old girl named Amelia is attending a lecture on a niche topic. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The lecture hall has seats filled with students, a professor at the front, and a projector screen. Watercolor art style.;A [character age]-year-old [character description] attending a lecture on a niche topic. They are wearing [clothes]. The hall has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_related_research_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Library (shelves of books, quiet, academic atmosphere);Semi-realistic;An 18-year-old girl named Amelia is conducting related research in the library. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The library has shelves of books, a quiet atmosphere, and an academic feel. Watercolor art style.;A [character age]-year-old [character description] conducting related research in the library. They are wearing [clothes]. The library has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_discuss_professor_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes), Professor (middle-aged, fair skin, short grey hair, wearing a suit);Lecture hall (seats filled with students, professor at front, projector screen);Semi-realistic;An 18-year-old girl named Amelia is discussing a topic with a professor after a lecture. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The professor is middle-aged with fair skin, short grey hair, and wearing a suit. The lecture hall has seats filled with students, a professor at the front, and a projector screen. Watercolor art style.;A [character age]-year-old [character description] discussing a topic with a professor after a lecture. The professor is [professor description]. They are wearing [clothes]. The hall has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_broad_topic_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Lecture hall (seats filled with students, professor at front, projector screen);Semi-realistic;An 18-year-old girl named Amelia is attending a lecture on a broad topic. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The lecture hall has seats filled with students, a professor at the front, and a projector screen. Watercolor art style.;A [character age]-year-old [character description] attending a lecture on a broad topic. They are wearing [clothes]. The hall has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_potential_specializations_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Lecture hall (seats filled with students, professor at front, projector screen);Semi-realistic;An 18-year-old girl named Amelia is considering potential specializations during a lecture. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The lecture hall has seats filled with students, a professor at the front, and a projector screen. Watercolor art style.;A [character age]-year-old [character description] considering potential specializations during a lecture. They are wearing [clothes]. The hall has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_personal_interests_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Lecture hall (seats filled with students, professor at front, projector screen);Semi-realistic;An 18-year-old girl named Amelia is connecting lecture topics to her personal interests. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The lecture hall has seats filled with students, a professor at the front, and a projector screen. Watercolor art style.;A [character age]-year-old [character description] connecting lecture topics to her personal interests. They are wearing [clothes]. The hall has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_library_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Library (shelves of books, quiet, academic atmosphere);Semi-realistic;An 18-year-old girl named Amelia is browsing the library. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The library has shelves of books, a quiet atmosphere, and an academic feel. Watercolor art style.;A [character age]-year-old [character description] browsing the library. They are wearing [clothes]. The library has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_dorm_room_evening_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters on walls, books on a desk, suitcase on floor, evening);Semi-realistic;An 18-year-old girl named Amelia is in her dorm room in the evening. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room has posters on the walls, a desk with books, and a suitcase on the floor. It is evening. Watercolor art style.;A [character age]-year-old [character description] in her dorm room in the evening. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_motivated_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters on walls, books on a desk, suitcase on floor, evening);Semi-realistic;An 18-year-old girl named Amelia is feeling motivated in her dorm room in the evening. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room has posters on the walls, a desk with books, and a suitcase on the floor. It is evening. Watercolor art style.;A [character age]-year-old [character description] feeling motivated in her dorm room in the evening. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
2_call_to_adventure.rpy;show amelia_happy_full;Amelia (18, fair skin, long brown hair, blue eyes, wearing casual clothes);Dorm room (cozy, posters on walls, books on a desk, suitcase on floor, evening);Semi-realistic;An 18-year-old girl named Amelia is feeling happy in her dorm room in the evening. Amelia has fair skin, long brown hair, and blue eyes. She is wearing casual clothes. The room has posters on the walls, a desk with books, and a suitcase on the floor. It is evening. Watercolor art style.;A [character age]-year-old [character description] feeling happy in her dorm room in the evening. They are wearing [clothes]. The room has [environment details]. [Artstyle] art style.
