file;show;character;environment;artstyle;description;prompt;;;;;
chapter_12.rpy;show amelia_with_family;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - with family);Park (sunny; family picnic);Semi-realistic;An 18-year-old girl named Amelia with her family in a sunny park for a picnic. Amelia has fair skin, long brown hair, and blue eyes. Semi-realistic art style.;A [character age]-year-old [character description] with her family in a sunny park for a picnic. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_smiling_warmly;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - smiling warmly);Park (sunny; family picnic);Semi-realistic;An 18-year-old girl named Amelia smiling warmly. Amelia has fair skin, long brown hair, and blue eyes. The park is sunny and lively. Semi-realistic art style.;A [character age]-year-old [character description] smiling warmly. The park is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show lily_looking_up_to_amelia;Lily (younger sister; fair skin; short brown hair; looking up to Amelia);Park (sunny; family picnic);Semi-realistic;A younger girl named Lily looking up to her older sister Amelia. Lily has fair skin and short brown hair. The park is sunny and lively. Semi-realistic art style.;A [character age]-year-old [character description] looking up to her older sister Amelia. The park is [environment details]. [Artstyle] art style.;
chapter_12.rpy;show amelia_nodding_smile;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - nodding and smiling);Park (sunny; family picnic);Semi-realistic;An 18-year-old girl named Amelia nodding and smiling. Amelia has fair skin, long brown hair, and blue eyes. The park is sunny and lively. Semi-realistic art style.;A [character age]-year-old [character description] nodding and smiling. The park is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_laughing;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - laughing);Park (sunny; family picnic);Semi-realistic;An 18-year-old girl named Amelia laughing. Amelia has fair skin, long brown hair, and blue eyes. The park is sunny and lively. Semi-realistic art style.;A [character age]-year-old [character description] laughing. The park is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_with_friends;Amelia and friends (18; fair skin; Amelia with long brown hair; dining together);Restaurant (local; cozy);Semi-realistic;An 18-year-old girl named Amelia dining with her friends in a local restaurant. Amelia has fair skin and long brown hair. The restaurant is cozy. Semi-realistic art style.;A [character age]-year-old [character description] dining with her friends in a local restaurant. The restaurant is [environment details]. [Artstyle] art style.;
chapter_12.rpy;show amelia_smiling_at_friends;Amelia and friends (18; fair skin; Amelia with long brown hair; smiling at friends);Restaurant (local; cozy);Semi-realistic;An 18-year-old girl named Amelia smiling at her friends in a local restaurant. Amelia has fair skin and long brown hair. The restaurant is cozy. Semi-realistic art style.;A [character age]-year-old [character description] smiling at her friends in a local restaurant. The restaurant is [environment details]. [Artstyle] art style.;
chapter_12.rpy;show group_dining;Amelia and friends (18; fair skin; Amelia with long brown hair; dining together);Restaurant (local; cozy);Semi-realistic;An 18-year-old girl named Amelia dining with her friends in a local restaurant. Amelia has fair skin and long brown hair. The restaurant is cozy. Semi-realistic art style.;A [character age]-year-old [character description] dining with her friends in a local restaurant. The restaurant is [environment details]. [Artstyle] art style.;
chapter_12.rpy;show amelia_reflecting_on_growth;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - reflecting on growth);Restaurant (local; cozy);Semi-realistic;An 18-year-old girl named Amelia reflecting on her growth in a local restaurant. Amelia has fair skin, long brown hair, and blue eyes. The restaurant is cozy. Semi-realistic art style.;A [character age]-year-old [character description] reflecting on her growth in a local restaurant. The restaurant is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_grateful;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - feeling grateful);Restaurant (local; cozy);Semi-realistic;An 18-year-old girl named Amelia feeling grateful in a local restaurant. Amelia has fair skin, long brown hair, and blue eyes. The restaurant is cozy. Semi-realistic art style.;A [character age]-year-old [character description] feeling grateful in a local restaurant. The restaurant is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show lucas_nodding;Lucas (18; fair skin; dark hair; nodding);Restaurant (local; cozy);Semi-realistic;An 18-year-old boy named Lucas nodding in a local restaurant. Lucas has fair skin and dark hair. The restaurant is cozy. Semi-realistic art style.;An [character age]-year-old [character description] nodding in a local restaurant. The restaurant is [environment details]. [Artstyle] art style.;
chapter_12.rpy;show amelia_talking_to_group;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - talking to group);Restaurant (local; cozy);Semi-realistic;An 18-year-old girl named Amelia talking to her friends in a local restaurant. Amelia has fair skin, long brown hair, and blue eyes. The restaurant is cozy. Semi-realistic art style.;A [character age]-year-old [character description] talking to her friends in a local restaurant. The restaurant is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show friends_toasting;Amelia and friends (18; fair skin; Amelia with long brown hair; toasting together);Restaurant (local; cozy);Semi-realistic;An 18-year-old girl named Amelia and her friends toasting together in a local restaurant. Amelia has fair skin and long brown hair. The restaurant is cozy. Semi-realistic art style.;A [character age]-year-old [character description] and her friends toasting together in a local restaurant. The restaurant is [environment details]. [Artstyle] art style.;
chapter_12.rpy;show amelia_reflecting_in_room;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - reflecting in room);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia reflecting in her room. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] reflecting in her room. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_journaling;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - journaling);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia journaling in her room. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] journaling in her room. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_determined;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - looking determined);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia looking determined. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] looking determined. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_in_room_preparing_ritual;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - preparing for ritual);Bedroom (familiar; with ancient texts and alchemical symbols);Semi-realistic;An 18-year-old girl named Amelia preparing for a ritual in her room. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar, filled with ancient texts and alchemical symbols. Semi-realistic art style.;A [character age]-year-old [character description] preparing for a ritual in her room. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_beginning_ritual;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - beginning ritual);Bedroom (familiar; with ancient texts and alchemical symbols);Semi-realistic;An 18-year-old girl named Amelia beginning a ritual in her room. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar, filled with ancient texts and alchemical symbols. Semi-realistic art style.;A [character age]-year-old [character description] beginning a ritual in her room. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_holding_stone;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - holding glowing stone);Bedroom (familiar; with ancient texts and alchemical symbols);Semi-realistic;An 18-year-old girl named Amelia holding a glowing stone in her room. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar, filled with ancient texts and alchemical symbols. Semi-realistic art style.;A [character age]-year-old [character description] holding a glowing stone in her room. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_ingesting_stone;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - ingesting glowing stone);Bedroom (familiar; with ancient texts and alchemical symbols);Semi-realistic;An 18-year-old girl named Amelia ingesting a glowing stone in her room. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar, filled with ancient texts and alchemical symbols. Semi-realistic art style.;A [character age]-year-old [character description] ingesting a glowing stone in her room. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_walking_outside;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - walking outside);Street (cool evening);Semi-realistic;An 18-year-old girl named Amelia walking outside in the cool evening. Amelia has fair skin, long brown hair, and blue eyes. The street is quiet and cool. Semi-realistic art style.;A [character age]-year-old [character description] walking outside in the cool evening. The street is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show mysterious_garden;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - walking in mysterious garden);Garden (lush; vibrant);Semi-realistic;An 18-year-old girl named Amelia walking in a mysterious, lush, and vibrant garden. Amelia has fair skin, long brown hair, and blue eyes. Semi-realistic art style.;A [character age]-year-old [character description] walking in a mysterious, lush, and vibrant garden. The garden is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_approaching_woman;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - approaching mysterious woman);Garden (lush; vibrant; with fountain);Semi-realistic;An 18-year-old girl named Amelia approaching a mysterious woman in a lush, vibrant garden with a fountain. Amelia has fair skin, long brown hair, and blue eyes. Semi-realistic art style.;A [character age]-year-old [character description] approaching a mysterious woman in a lush, vibrant garden with a fountain. The garden is [environment details]. [Artstyle] art style.;;;
chapter_12.rpy;show amelia_confused;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - looking confused);Garden (lush; vibrant; with fountain);Semi-realistic;An 18-year-old girl named Amelia looking confused in a lush, vibrant garden with a fountain. Amelia has fair skin, long brown hair, and blue eyes. Semi-realistic art style.;A [character age]-year-old [character description] looking confused in a lush, vibrant garden with a fountain. The garden is [environment details]. [Artstyle] art style.;;;
chapter_12.rpy;show woman_smiling;Mysterious woman (smiling serenely);Garden (lush; vibrant; with fountain);Semi-realistic;A mysterious woman smiling serenely in a lush, vibrant garden with a fountain. Semi-realistic art style.;A [character age]-year-old [character description] smiling serenely in a lush, vibrant garden with a fountain. The garden is [environment details]. [Artstyle] art style.;;;
chapter_12.rpy;show amelia_listening_intently;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - listening intently);Garden (lush; vibrant; with fountain);Semi-realistic;An 18-year-old girl named Amelia listening intently in a lush, vibrant garden with a fountain. Amelia has fair skin, long brown hair, and blue eyes. Semi-realistic art style.;A [character age]-year-old [character description] listening intently in a lush, vibrant garden with a fountain. The garden is [environment details]. [Artstyle] art style.;;;
chapter_12.rpy;show amelia_sitting_by_fountain;Amelia and mysterious woman (sitting by fountain; listening to story);Garden (lush; vibrant; with fountain);Semi-realistic;An 18-year-old girl named Amelia and a mysterious woman sitting by a fountain in a lush, vibrant garden, listening to a story. Amelia has fair skin, long brown hair, and blue eyes. Semi-realistic art style.;A [character age]-year-old [character description] and a mysterious woman sitting by a fountain in a lush, vibrant garden, listening to a story. The garden is [environment details]. [Artstyle] art style.;;
chapter_12.rpy;show amelia_listening_emotional;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - listening emotionally);Garden (lush; vibrant; with fountain);Semi-realistic;An 18-year-old girl named Amelia listening emotionally in a lush, vibrant garden with a fountain. Amelia has fair skin, long brown hair, and blue eyes. Semi-realistic art style.;A [character age]-year-old [character description] listening emotionally in a lush, vibrant garden with a fountain. The garden is [environment details]. [Artstyle] art style.;;;
chapter_12.rpy;show woman_fading;Mysterious woman (fading away);Garden (lush; vibrant; with fountain);Semi-realistic;A mysterious woman fading away in a lush, vibrant garden with a fountain. Semi-realistic art style.;A [character age]-year-old [character description] fading away in a lush, vibrant garden with a fountain. The garden is [environment details]. [Artstyle] art style.;;;
chapter_12.rpy;show amelia_waking_up_in_bed;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - waking up in bed);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia waking up in bed. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] waking up in bed. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_determined;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - looking determined);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia looking determined. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] looking determined. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_journal_open;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - journal open);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia with her journal open. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] with her journal open. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_lying_in_bed;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - lying in bed);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia lying in bed. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] lying in bed. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_sitting_in_garden;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - sitting in garden);Garden (seeking solace; lost in thought);Semi-realistic;An 18-year-old girl named Amelia sitting in a garden, seeking solace and lost in thought. Amelia has fair skin, long brown hair, and blue eyes. Semi-realistic art style.;A [character age]-year-old [character description] sitting in a garden, seeking solace and lost in thought. The garden is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_receiving_text;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - receiving a text);Garden (seeking solace; lost in thought);Semi-realistic;An 18-year-old girl named Amelia receiving a text while sitting in a garden. Amelia has fair skin, long brown hair, and blue eyes. The garden is seeking solace and lost in thought. Semi-realistic art style.;A [character age]-year-old [character description] receiving a text while sitting in a garden. The garden is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_texting_back;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - texting back);Garden (seeking solace; lost in thought);Semi-realistic;An 18-year-old girl named Amelia texting back while sitting in a garden. Amelia has fair skin, long brown hair, and blue eyes. The garden is seeking solace and lost in thought. Semi-realistic art style.;A [character age]-year-old [character description] texting back while sitting in a garden. The garden is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_waiting_for_response;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - waiting for a response);Garden (seeking solace; lost in thought);Semi-realistic;An 18-year-old girl named Amelia waiting for a response while sitting in a garden. Amelia has fair skin, long brown hair, and blue eyes. The garden is seeking solace and lost in thought. Semi-realistic art style.;A [character age]-year-old [character description] waiting for a response while sitting in a garden. The garden is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_crying_in_garden;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - crying in garden);Garden (seeking solace; lost in thought);Semi-realistic;An 18-year-old girl named Amelia crying in a garden. Amelia has fair skin, long brown hair, and blue eyes. The garden is seeking solace and lost in thought. Semi-realistic art style.;A [character age]-year-old [character description] crying in a garden. The garden is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show zara;Zara (18; medium brown skin; curly hair; comforting Amelia);Garden (seeking solace; lost in thought);Semi-realistic;An 18-year-old girl named Zara comforting her friend Amelia in a garden. Zara has medium brown skin and curly hair. The garden is seeking solace and lost in thought. Semi-realistic art style.;An [character age]-year-old [character description] comforting her friend Amelia in a garden. The garden is [environment details]. [Artstyle] art style.;
chapter_12.rpy;show amelia_hugging_zara;Amelia and Zara (18; fair skin; Amelia with long brown hair; hugging);Garden (seeking solace; lost in thought);Semi-realistic;An 18-year-old girl named Amelia hugging her friend Zara in a garden. Amelia has fair skin and long brown hair. The garden is seeking solace and lost in thought. Semi-realistic art style.;An [character age]-year-old [character description] hugging her friend Zara in a garden. The garden is [environment details]. [Artstyle] art style.;
chapter_12.rpy;show amelia_talking_to_professor_hawthorne;Amelia and Professor Hawthorne (18; fair skin; Amelia with long brown hair; talking);Office (supportive atmosphere);Semi-realistic;An 18-year-old girl named Amelia talking to her mentor Professor Hawthorne in an office. Amelia has fair skin and long brown hair. The office has a supportive atmosphere. Semi-realistic art style.;An [character age]-year-old [character description] talking to her mentor Professor Hawthorne in an office. The office is [environment details]. [Artstyle] art style.;;
chapter_12.rpy;show amelia_nodding_sadly;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - nodding sadly);Office (supportive atmosphere);Semi-realistic;An 18-year-old girl named Amelia nodding sadly in an office. Amelia has fair skin, long brown hair, and blue eyes. The office has a supportive atmosphere. Semi-realistic art style.;A [character age]-year-old [character description] nodding sadly in an office. The office is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show amelia_at_memorial;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - at memorial for Sarah);Memorial (somber; reflective);Semi-realistic;An 18-year-old girl named Amelia at a memorial for her friend Sarah. Amelia has fair skin, long brown hair, and blue eyes. The memorial is somber and reflective. Semi-realistic art style.;A [character age]-year-old [character description] at a memorial for her friend Sarah. The memorial is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_journaling;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - journaling);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia journaling in her room. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] journaling in her room. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_lying_in_bed;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - lying in bed);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia lying in bed. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] lying in bed. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_in_room_preparing;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - preparing in room);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia preparing in her room. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] preparing in her room. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_packing_bag;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - packing bag);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia packing a bag in her bedroom. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] packing a bag in her bedroom. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_leaving_home;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - leaving home);Front Door (waving goodbye);Semi-realistic;An 18-year-old girl named Amelia leaving home and waving goodbye. Amelia has fair skin, long brown hair, and blue eyes. The front door is cozy. Semi-realistic art style.;A [character age]-year-old [character description] leaving home and waving goodbye. The front door is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show amelia_meeting_mentor;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - meeting mentor);Café (quiet; meeting mentor);Semi-realistic;An 18-year-old girl named Amelia meeting her mentor in a quiet café. Amelia has fair skin, long brown hair, and blue eyes. The café is quiet. Semi-realistic art style.;A [character age]-year-old [character description] meeting her mentor in a quiet café. The café is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_smiling_sitting;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - smiling while sitting);Café (quiet; meeting mentor);Semi-realistic;An 18-year-old girl named Amelia smiling while sitting in a quiet café. Amelia has fair skin, long brown hair, and blue eyes. The café is quiet. Semi-realistic art style.;A [character age]-year-old [character description] smiling while sitting in a quiet café. The café is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show hawthorne_nodding;Professor Hawthorne (mentor; nodding);Café (quiet; meeting Amelia);Semi-realistic;Amelia's mentor, Professor Hawthorne, nodding in a quiet café. Semi-realistic art style.;Amelia's mentor, [character description], nodding in a quiet café. [Artstyle] art style.;;;
chapter_12.rpy;show amelia_grateful;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - feeling grateful);Café (quiet; meeting mentor);Semi-realistic;An 18-year-old girl named Amelia feeling grateful. Amelia has fair skin, long brown hair, and blue eyes. The café is quiet. Semi-realistic art style.;A [character age]-year-old [character description] feeling grateful. The café is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_with_family;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - with family);Park (sunny; family picnic);Semi-realistic;An 18-year-old girl named Amelia with her family in a sunny park for a picnic. Amelia has fair skin, long brown hair, and blue eyes. Semi-realistic art style.;A [character age]-year-old [character description] with her family in a sunny park for a picnic. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_smiling_warmly;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - smiling warmly);Park (sunny; family picnic);Semi-realistic;An 18-year-old girl named Amelia smiling warmly. Amelia has fair skin, long brown hair, and blue eyes. The park is sunny and lively. Semi-realistic art style.;A [character age]-year-old [character description] smiling warmly. The park is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show lily_looking_up_to_amelia;Lily (younger sister; fair skin; short brown hair; looking up to Amelia);Park (sunny; family picnic);Semi-realistic;A younger girl named Lily looking up to her older sister Amelia. Lily has fair skin and short brown hair. The park is sunny and lively. Semi-realistic art style.;A [character age]-year-old [character description] looking up to her older sister Amelia. The park is [environment details]. [Artstyle] art style.;
chapter_12.rpy;show amelia_nodding_smile;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - nodding and smiling);Park (sunny; family picnic);Semi-realistic;An 18-year-old girl named Amelia nodding and smiling. Amelia has fair skin, long brown hair, and blue eyes. The park is sunny and lively. Semi-realistic art style.;A [character age]-year-old [character description] nodding and smiling. The park is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_laughing;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - laughing);Park (sunny; family picnic);Semi-realistic;An 18-year-old girl named Amelia laughing. Amelia has fair skin, long brown hair, and blue eyes. The park is sunny and lively. Semi-realistic art style.;A [character age]-year-old [character description] laughing. The park is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_with_friends;Amelia and friends (18; fair skin; Amelia with long brown hair; dining together);Restaurant (local; cozy);Semi-realistic;An 18-year-old girl named Amelia dining with her friends in a local restaurant. Amelia has fair skin and long brown hair. The restaurant is cozy. Semi-realistic art style.;A [character age]-year-old [character description] dining with her friends in a local restaurant. The restaurant is [environment details]. [Artstyle] art style.;
chapter_12.rpy;show amelia_smiling_at_friends;Amelia and friends (18; fair skin; Amelia with long brown hair; smiling at friends);Restaurant (local; cozy);Semi-realistic;An 18-year-old girl named Amelia smiling at her friends in a local restaurant. Amelia has fair skin and long brown hair. The restaurant is cozy. Semi-realistic art style.;A [character age]-year-old [character description] smiling at her friends in a local restaurant. The restaurant is [environment details]. [Artstyle] art style.;
chapter_12.rpy;show group_dining;Amelia and friends (18; fair skin; Amelia with long brown hair; dining together);Restaurant (local; cozy);Semi-realistic;An 18-year-old girl named Amelia dining with her friends in a local restaurant. Amelia has fair skin and long brown hair. The restaurant is cozy. Semi-realistic art style.;A [character age]-year-old [character description] dining with her friends in a local restaurant. The restaurant is [environment details]. [Artstyle] art style.;
chapter_12.rpy;show amelia_reflecting_on_growth;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - reflecting on growth);Restaurant (local; cozy);Semi-realistic;An 18-year-old girl named Amelia reflecting on her growth in a local restaurant. Amelia has fair skin, long brown hair, and blue eyes. The restaurant is cozy. Semi-realistic art style.;A [character age]-year-old [character description] reflecting on her growth in a local restaurant. The restaurant is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_grateful;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - feeling grateful);Restaurant (local; cozy);Semi-realistic;An 18-year-old girl named Amelia feeling grateful in a local restaurant. Amelia has fair skin, long brown hair, and blue eyes. The restaurant is cozy. Semi-realistic art style.;A [character age]-year-old [character description] feeling grateful in a local restaurant. The restaurant is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show lucas_nodding;Lucas (18; fair skin; dark hair; nodding);Restaurant (local; cozy);Semi-realistic;An 18-year-old boy named Lucas nodding in a local restaurant. Lucas has fair skin and dark hair. The restaurant is cozy. Semi-realistic art style.;An [character age]-year-old [character description] nodding in a local restaurant. The restaurant is [environment details]. [Artstyle] art style.;
chapter_12.rpy;show amelia_talking_to_group;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - talking to group);Restaurant (local; cozy);Semi-realistic;An 18-year-old girl named Amelia talking to her friends in a local restaurant. Amelia has fair skin, long brown hair, and blue eyes. The restaurant is cozy. Semi-realistic art style.;A [character age]-year-old [character description] talking to her friends in a local restaurant. The restaurant is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show friends_toasting;Amelia and friends (18; fair skin; Amelia with long brown hair; toasting together);Restaurant (local; cozy);Semi-realistic;An 18-year-old girl named Amelia and her friends toasting together in a local restaurant. Amelia has fair skin and long brown hair. The restaurant is cozy. Semi-realistic art style.;A [character age]-year-old [character description] and her friends toasting together in a local restaurant. The restaurant is [environment details]. [Artstyle] art style.;
chapter_12.rpy;show amelia_reflecting_in_room;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - reflecting in room);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia reflecting in her room. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] reflecting in her room. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_journaling;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - journaling);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia journaling in her room. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] journaling in her room. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_determined;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - looking determined);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia looking determined. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] looking determined. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_lying_in_bed;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - lying in bed);Bedroom (familiar; comfortable);Semi-realistic;An 18-year-old girl named Amelia lying in bed. Amelia has fair skin, long brown hair, and blue eyes. The bedroom is familiar and comfortable. Semi-realistic art style.;A [character age]-year-old [character description] lying in bed. The bedroom is [environment details]. [Artstyle] art style.;;;;
chapter_12.rpy;show amelia_helping_people;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - helping people);Mental Health Organization (volunteering);Semi-realistic;An 18-year-old girl named Amelia helping people at a mental health organization. Amelia has fair skin, long brown hair, and blue eyes. The organization is modern and supportive. Semi-realistic art style.;A [character age]-year-old [character description] helping people at a mental health organization. The organization is [environment details]. [Artstyle] art style.;;;;;
chapter_12.rpy;show amelia_listening;Amelia (18 years old girl with fair skin and long brown hair and blue eyes - listening);Mental Health Organization (volunteering);Semi-realistic;An 18-year-old girl named Amelia listening to people at a mental health organization. Amelia has fair skin, long brown hair, and blue eyes. The organization is modern and supportive. Semi-realistic art style.;A [character age]-year-old [character description] listening to people at a mental health organization. The organization is [environment details]. [Artstyle] art style.;;;;;
